;;;*;abiotic;abiotic;abiotic;abiotic;abiotic;abiotic;abiotic;abiotic;abiotic;abiotic;abiotic;abiotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;biotic;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;toxicity;toxicity
;;;Σ;heat stress/heat tolerance/heat resistance/heat impact/heat change/temperature stress/temperature tolerance/temperature resistance/temperature impact/temperature change;heat stress/heat tolerance/heat resistance/heat impact/heat change/temperature stress/temperature tolerance/temperature resistance/temperature impact/temperature change;heavy metal stress/metallic trace element stress/heavy metal tolerance/metallic trace element tolerance/heavy metal resistance/metallic trace element resistance/heavy metal impact/metallic trace element impact/heavy metal change/metallic trace element change;heavy metal stress/metallic trace element stress/heavy metal tolerance/metallic trace element tolerance/heavy metal resistance/metallic trace element resistance/heavy metal impact/metallic trace element impact/heavy metal change/metallic trace element change;hydric stress/drought stress/hydric tolerance/drought tolerance/hydric resistance/drought resistance/hydric impact/drought impact/hydric change/drought change;hydric stress/drought stress/hydric tolerance/drought tolerance/hydric resistance/drought resistance/hydric impact/drought impact/hydric change/drought change;ph stress/ph tolerance/ph resistance/ph impact/ph change;ph stress/ph tolerance/ph resistance/ph impact/ph change;salt stress/salinity stress/salt tolerance/salinity tolerance/salt resistance/salinity resistance/salt impact/salinity impact/salt change/salinity change;salt stress/salinity stress/salt tolerance/salinity tolerance/salt resistance/salinity resistance/salt impact/salinity impact/salt change/salinity change;uv stress/light stress/uv tolerance/light tolerance/uv resistance/light resistance/uv impact/light impact/uv change/light change/irradiance;uv stress/light stress/uv tolerance/light tolerance/uv resistance/light resistance/uv impact/light impact/uv change/light change/irradiance;antifeedant/phytophagous/herbivory/feeding deterrents;antifeedant/phytophagous/herbivory/feeding deterrents;attractant;attractant;germination;germination;herbicidal;herbicidal;phytotoxicity;phytotoxicity;pigment/colour;pigment/colour;pollination;pollination;quorum sensing;quorum sensing;repulsive;repulsive;root respiration/branching factors/root formation;root respiration/branching factors/root formation;seed dispersal;seed dispersal;anti-inflammatory;anti-inflammatory;antibacterial;antibacterial;anticancer/anti-tumour/anti-apoptotic/anti-angiogenic;anticancer/anti-tumour/anti-apoptotic/anti-angiogenic;antidiabetic;antidiabetic;antifungal;antifungal;antimicrobial;antimicrobial;antioxidant;antioxidant;antiparasitic;antiparasitic;antiviral;antiviral;arthritis;arthritis;burns;burns;cardiovascular;cardiovascular;cytotoxicity;cytotoxicity;dementia/alzheimer;dementia/alzheimer;immuno-modulatory;immuno-modulatory;obesity;obesity;rheumatism;rheumatism;sedative/analgesic;sedative/analgesic;wound;wound;toxicity;toxicity
;;;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/;w/o;w/
*;Σ;w/;439830;436682;3148;439307;523;437302;2528;439031;799;436235;3595;437491;2339;437069;2761;438935;895;432352;7478;439174;656;437826;2004;382847;56983;438729;1101;435239;4591;439266;564;438882;948;439710;120;401264;38566;401865;37965;404177;35653;430688;9142;415532;24298;381074;58756;340322;99508;437682;2148;425878;13952;429460;10370;437983;1847;418900;20930;380428;59402;427826;12004;439759;71;428942;10888;439018;812;424317;15513;428033;11797;382485;57345
abiotic;heat stress/heat tolerance/heat resistance/heat impact/heat change/temperature stress/temperature tolerance/temperature resistance/temperature impact/temperature change;w/o;436682;436682;0;436164;518;434269;2413;435888;794;433190;3492;434406;2276;433924;2758;435787;895;429294;7388;436026;656;434682;2000;380061;56621;435593;1089;432104;4578;436119;563;435737;945;436563;119;398162;38520;398760;37922;401057;35625;427542;9140;412406;24276;377991;58691;337734;98948;434535;2147;422732;13950;426313;10369;434840;1842;415761;20921;377316;59366;424688;11994;436611;71;425799;10883;435871;811;421182;15500;424895;11787;379397;57285
abiotic;heat stress/heat tolerance/heat resistance/heat impact/heat change/temperature stress/temperature tolerance/temperature resistance/temperature impact/temperature change;w/;3148;0;3148;3143;5;3033;115;3143;5;3045;103;3085;63;3145;3;3148;0;3058;90;3148;0;3144;4;2786;362;3136;12;3135;13;3147;1;3145;3;3147;1;3102;46;3105;43;3120;28;3146;2;3126;22;3083;65;2588;560;3147;1;3146;2;3147;1;3143;5;3139;9;3112;36;3138;10;3148;0;3143;5;3147;1;3135;13;3138;10;3088;60
abiotic;heavy metal stress/metallic trace element stress/heavy metal tolerance/metallic trace element tolerance/heavy metal resistance/metallic trace element resistance/heavy metal impact/metallic trace element impact/heavy metal change/metallic trace element change;w/o;439307;436164;3143;439307;0;436784;2523;438509;798;435725;3582;436973;2334;436546;2761;438412;895;431852;7455;438651;656;437327;1980;382401;56906;438206;1101;434718;4589;438743;564;438359;948;439187;120;400742;38565;401349;37958;403655;35652;430165;9142;415016;24291;380628;58679;339913;99394;437159;2148;425356;13951;428937;10370;437460;1847;418378;20929;379908;59399;427303;12004;439236;71;428419;10888;438496;811;423794;15513;427512;11795;382074;57233
abiotic;heavy metal stress/metallic trace element stress/heavy metal tolerance/metallic trace element tolerance/heavy metal resistance/metallic trace element resistance/heavy metal impact/metallic trace element impact/heavy metal change/metallic trace element change;w/;523;518;5;0;523;518;5;522;1;510;13;518;5;523;0;523;0;500;23;523;0;499;24;446;77;523;0;521;2;523;0;523;0;523;0;522;1;516;7;522;1;523;0;516;7;446;77;409;114;523;0;522;1;523;0;523;0;522;1;520;3;523;0;523;0;523;0;522;1;523;0;521;2;411;112
abiotic;hydric stress/drought stress/hydric tolerance/drought tolerance/hydric resistance/drought resistance/hydric impact/drought impact/hydric change/drought change;w/o;437302;434269;3033;436784;518;437302;0;436503;799;433923;3379;435000;2302;434567;2735;436407;895;429995;7307;436647;655;435307;1995;380813;56489;436214;1088;432714;4588;436738;564;436363;939;437183;119;398741;38561;399346;37956;401653;35649;428160;9142;413019;24283;378566;58736;338638;98664;435154;2148;423350;13952;426933;10369;435456;1846;416375;20927;377904;59398;425298;12004;437231;71;426415;10887;436490;812;421791;15511;425507;11795;379985;57317
abiotic;hydric stress/drought stress/hydric tolerance/drought tolerance/hydric resistance/drought resistance/hydric impact/drought impact/hydric change/drought change;w/;2528;2413;115;2523;5;0;2528;2528;0;2312;216;2491;37;2502;26;2528;0;2357;171;2527;1;2519;9;2034;494;2515;13;2525;3;2528;0;2519;9;2527;1;2523;5;2519;9;2524;4;2528;0;2513;15;2508;20;1684;844;2528;0;2528;0;2527;1;2527;1;2525;3;2524;4;2528;0;2528;0;2527;1;2528;0;2526;2;2526;2;2500;28
abiotic;ph stress/ph tolerance/ph resistance/ph impact/ph change;w/o;439031;435888;3143;438509;522;436503;2528;439031;0;435448;3583;436694;2337;436271;2760;438136;895;431559;7472;438375;656;437027;2004;382162;56869;437930;1101;434444;4587;438467;564;438083;948;438911;120;400472;38559;401089;37942;403389;35642;429891;9140;414740;24291;380311;58720;339573;99458;436883;2148;425080;13951;428661;10370;437184;1847;418102;20929;379663;59368;427030;12001;438960;71;428143;10888;438219;812;423518;15513;427238;11793;381704;57327
